id;category;brand;article_id;order_id;is_purchased;created_at;created_by;updated_at;updated_by
1;attached cinema jaunty;resonate outside;modulo remit;press sadly;true;2024-07-15T06:47:36;protrude unlike meanwhile;2024-07-14T23:57:28;yahoo
2;wetly care consequently;terribly well-to-do;lighthearted;yet vast;true;2024-07-15T06:10:51;um;2024-07-15T07:14:46;around likely
3;ready;preen provided;qua who;shrilly slowly;false;2024-07-14T22:14:57;behind intently;2024-07-15T06:30:13;burrow nasal
4;monsoon amid;finally aboard provided;belated;offend excepting;false;2024-07-14T20:40:25;eligibility;2024-07-15T08:54:16;forehead whoa with
5;guest accounting;clumsy sister-in-law thankfully;up upbeat heavy;of oof;true;2024-07-14T20:52:14;understatement;2024-07-15T04:45:17;quaint dissuade
6;phew kiddingly;dazzling rarely winery;since whoever among;acculturate;false;2024-07-14T20:59:25;whirlwind once respect;2024-07-14T12:53:24;trade slouch bungalow
7;huzzah bijou supposing;plasticize glorious decompose;dolphin;exclude asterisk;true;2024-07-14T16:24:08;whoever;2024-07-14T23:24:29;worth
8;critical predict;turbulent fairly;ha;regarding culvert;false;2024-07-14T10:01:41;stamp till;2024-07-15T05:30:12;since furthermore sore
9;dizzy amid as;detract;yowza until besides;quicker;false;2024-07-14T18:17:25;ugly;2024-07-15T02:07:39;weird whether hmph
10;beginner feast builder;consulting disastrous uncommon;stealthily;provided;false;2024-07-15T00:54:36;gander likewise bugle;2024-07-15T00:37:35;without rev
